label,statement,description,url,significance_0_3,notes
dfbi,|- ( ( ( ph <-> ps ) -> ( ( ph -> ps ) /\ ( ps -> ph ) ) ) /\ ( ( ( ph -> ps ) /\ ( ps -> ph ) ) -> ( ph <-> ps ) ) ),"Definition ~ df-bi rewritten in an abbreviated form to help intuitive understanding of that definition. Note that it is a conjunction of two implications; one which asserts properties that follow from the biconditional and one which asserts properties that imply the biconditional. (Contributed by NM, 15-Aug-2008.)",https://us.metamath.org/mpeuni/dfbi.html,,
imim1i,|- ( ( ps -> ch ) -> ( ph -> ch ) ),"Inference adding common consequents in an implication, thereby interchanging the original antecedent and consequent. Inference associated with ~ imim1 . Its associated inference is ~ syl . (Contributed by NM, 28-Dec-1992.) (Proof shortened by Wolf Lammen, 4-Aug-2012.)",https://us.metamath.org/mpeuni/imim1i.html,,
bj-bibibi,|- ( ph <-> ( ps <-> ( ph <-> ps ) ) ),"A property of the biconditional. (Contributed by BJ, 26-Oct-2019.) (Proof modification is discouraged.)",https://us.metamath.org/mpeuni/bj-bibibi.html,,
3impexp,|- ( ( ( ph /\ ps /\ ch ) -> th ) <-> ( ph -> ( ps -> ( ch -> th ) ) ) ),"Version of ~ impexp for a triple conjunction. (Contributed by Alan Sare, 31-Dec-2011.)",https://us.metamath.org/mpeuni/3impexp.html,,
notnotr,|- ( -. -. ph -> ph ),"Double negation elimination. Converse of ~ notnot and one implication of ~ notnotb . Theorem *2.14 of [WhiteheadRussell] p. 102. This was the fifth axiom of Frege, specifically Proposition 31 of [Frege1879] p. 44. In classical logic (our logic) this is always true. In intuitionistic logic this is not always true, and formulas for which it is true are called ""stable"". (Contributed by NM, 29-Dec-199",https://us.metamath.org/mpeuni/notnotr.html,,
adh-minimp-jarr-ax2c-lem3,|- ( ( ( ( ph -> ps ) -> ( ( ( ch -> ph ) -> ( ps -> th ) ) -> ( ph -> th ) ) ) -> ta ) -> ta ),"Third lemma for the derivation of ~ jarr and a commuted form of ~ ax-2 , and indirectly ~ ax-1 and ~ ax-2 proper , from ~ adh-minimp and ~ ax-mp . Polish prefix notation: CCCCpqCCCrpCqsCpstt . (Contributed by ADH, 10-Nov-2023.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/adh-minimp-jarr-ax2c-lem3.html,,
pm5.74i,|- ( ( ph -> ps ) <-> ( ph -> ch ) ),"Distribution of implication over biconditional (inference form). (Contributed by NM, 1-Aug-1994.)",https://us.metamath.org/mpeuni/pm5.74i.html,,
merco1lem8,|- ( ph -> ( ( ps -> ( ps -> ch ) ) -> ( ps -> ch ) ) ),"Used to rederive the Tarski-Bernays-Wajsberg axioms from ~ merco1 . (Contributed by Anthony Hart, 17-Sep-2011.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/merco1lem8.html,,
pm5.21,|- ( ( -. ph /\ -. ps ) -> ( ph <-> ps ) ),"Two propositions are equivalent if they are both false. Theorem *5.21 of [WhiteheadRussell] p. 124. (Contributed by NM, 21-May-1994.)",https://us.metamath.org/mpeuni/pm5.21.html,,
con1d,|- ( ph -> ( -. ch -> ps ) ),"A contraposition deduction. (Contributed by NM, 27-Dec-1992.)",https://us.metamath.org/mpeuni/con1d.html,,
simp2l3,|- ( ( ta /\ ( ( ph /\ ps /\ ch ) /\ th ) /\ et ) -> ch ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp2l3.html,,
a2i,|- ( ( ph -> ps ) -> ( ph -> ch ) ),"Inference distributing an antecedent. Inference associated with ~ ax-2 . Its associated inference is ~ mpd . (Contributed by NM, 29-Dec-1992.)",https://us.metamath.org/mpeuni/a2i.html,,
meredith,|- ( ( ( ( ( ph -> ps ) -> ( -. ch -> -. th ) ) -> ch ) -> ta ) -> ( ( ta -> ph ) -> ( th -> ph ) ) ),"Carew Meredith's sole axiom for propositional calculus. This amazing formula is thought to be the shortest possible single axiom for propositional calculus with inference rule ~ ax-mp , where negation and implication are primitive. Here we prove Meredith's axiom from ~ ax-1 , ~ ax-2 , and ~ ax-3 . Then from it we derive the Lukasiewicz axioms ~ luk-1 , ~ luk-2 , and ~ luk-3 . Using these we finall",https://us.metamath.org/mpeuni/meredith.html,,
rb-imdf,|- -. ( -. ( -. ( ph -> ps ) \/ ( -. ph \/ ps ) ) \/ -. ( -. ( -. ph \/ ps ) \/ ( ph -> ps ) ) ),"The definition of implication, in terms of ` \/ ` and ` -. ` . (Contributed by Anthony Hart, 17-Aug-2011.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/rb-imdf.html,,
mercolem4,|- ( ( th -> ( et -> ph ) ) -> ( ( ( th -> ch ) -> ph ) -> ( ta -> ( et -> ph ) ) ) ),"Used to rederive the Tarski-Bernays-Wajsberg axioms from ~ merco2 . (Contributed by Anthony Hart, 16-Aug-2011.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/mercolem4.html,,
ex3,|- ( ( ph /\ ps /\ ch ) -> ( th -> ta ) ),"Apply ~ ex to a hypothesis with a 3-right-nested conjunction antecedent, with the antecedent of the assertion being a triple conjunction rather than a 2-right-nested conjunction. (Contributed by Alan Sare, 22-Apr-2018.)",https://us.metamath.org/mpeuni/ex3.html,,
merlem13,|- ( ( ph -> ps ) -> ( ( ( th -> ( -. -. ch -> ch ) ) -> -. -. ph ) -> ps ) ),"Step 35 of Meredith's proof of Lukasiewicz axioms from his sole axiom. (Contributed by NM, 14-Dec-2002.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/merlem13.html,,
imp5d,|- ( ( ( ph /\ ps ) /\ ch ) -> ( ( th /\ ta ) -> et ) ),"An importation inference. (Contributed by Jeff Hankins, 7-Jul-2009.)",https://us.metamath.org/mpeuni/imp5d.html,,
orrd,|- ( ph -> ( ps \/ ch ) ),"Deduce disjunction from implication. (Contributed by NM, 27-Nov-1995.)",https://us.metamath.org/mpeuni/orrd.html,,
imp32,|- ( ( ph /\ ( ps /\ ch ) ) -> th ),"An importation inference. (Contributed by NM, 26-Apr-1994.)",https://us.metamath.org/mpeuni/imp32.html,,
ts3an2,|- ( th -> ( ( ph /\ ps ) \/ -. ( ph /\ ps /\ ch ) ) ),"A Tseitin axiom for triple logical conjunction, in deduction form. (Contributed by Giovanni Mascellani, 25-Mar-2018.)",https://us.metamath.org/mpeuni/ts3an2.html,,
orcomdd,|- ( ph -> ( ps -> ( th \/ ch ) ) ),"Commutativity of logic disjunction, in double deduction form. Should not be moved to main, see PR #3034 in Github. Use ~ orcomd instead. (Contributed by Giovanni Mascellani, 19-Mar-2018.) (New usage is discouraged.) (Proof modification is discouraged.)",https://us.metamath.org/mpeuni/orcomdd.html,,
con3d,|- ( ph -> ( -. ch -> -. ps ) ),"A contraposition deduction. Deduction form of ~ con3 . (Contributed by NM, 10-Jan-1993.)",https://us.metamath.org/mpeuni/con3d.html,,
biidd,|- ( ph -> ( ps <-> ps ) ),"Principle of identity with antecedent. (Contributed by NM, 25-Nov-1995.)",https://us.metamath.org/mpeuni/biidd.html,,
imim1d,|- ( ph -> ( ( ch -> th ) -> ( ps -> th ) ) ),"Deduction adding nested consequents. Deduction associated with ~ imim1 and ~ imim1i . (Contributed by NM, 3-Apr-1994.) (Proof shortened by Wolf Lammen, 12-Sep-2012.)",https://us.metamath.org/mpeuni/imim1d.html,,
jath,|- ( ( -. ph -> ch ) -> ( ( ps -> ch ) -> ( ( ph -> ps ) -> ch ) ) ),"Closed form of ~ ja . Proved using the completeness script. (Proof modification is discouraged.) (Contributed by Scott Fenton, 13-Dec-2021.)",https://us.metamath.org/mpeuni/jath.html,,
bnj705,|- ( ( ph /\ ps /\ ch /\ th ) -> ta ),"` /\ ` -manipulation. (Contributed by Jonathan Ben-Naim, 3-Jun-2011.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/bnj705.html,,
bj-dfbi5,|- ( ( ph <-> ps ) <-> ( ( ph \/ ps ) -> ( ph /\ ps ) ) ),"Alternate definition of the biconditional. (Contributed by BJ, 4-Oct-2019.)",https://us.metamath.org/mpeuni/bj-dfbi5.html,,
bj-1,|- ( ( ( ph -> ps ) -> ch ) -> ( ( ph -> ps ) -> ch ) ),"In this proof, the use of the syntactic theorem ~ bj-0 allows to reduce the total length by one (non-essential) step. See also the section comment and the comment of ~ bj-0 . Since ~ bj-0 is used in a non-essential step, this use does not appear on this webpage (but the present theorem appears on the webpage for ~ bj-0 as a theorem referencing it). The full proof reads $= wph wps wch bj-0 id $. (w",https://us.metamath.org/mpeuni/bj-1.html,,
anass,|- ( ( ( ph /\ ps ) /\ ch ) <-> ( ph /\ ( ps /\ ch ) ) ),"Associative law for conjunction. Theorem *4.32 of [WhiteheadRussell] p. 118. (Contributed by NM, 21-Jun-1993.) (Proof shortened by Wolf Lammen, 24-Nov-2012.)",https://us.metamath.org/mpeuni/anass.html,,
frege56aid,|- ( ( ( ph <-> ps ) -> ( ph -> ps ) ) -> ( ( ps <-> ph ) -> ( ph -> ps ) ) ),"Lemma for ~ frege57aid . Proposition 56 of [Frege1879] p. 50. (Contributed by RP, 24-Dec-2019.) (Proof modification is discouraged.)",https://us.metamath.org/mpeuni/frege56aid.html,,
imp42,|- ( ( ( ph /\ ( ps /\ ch ) ) /\ th ) -> ta ),"An importation inference. (Contributed by NM, 26-Apr-1994.)",https://us.metamath.org/mpeuni/imp42.html,,
hirstL-ax3,|- ( ( -. ph -> -. ps ) -> ( ( -. ph -> ps ) -> ph ) ),"The third axiom of a system called ""L"" but proven to be a theorem since set.mm uses a different third axiom. This is named hirst after Holly P. Hirst and Jeffry L. Hirst. Axiom A3 of [Mendelson] p. 35. (Contributed by Jarvin Udandy, 7-Feb-2015.) (Proof modification is discouraged.)",https://us.metamath.org/mpeuni/hirstL-ax3.html,,
pm5.32ri,|- ( ( ps /\ ph ) <-> ( ch /\ ph ) ),"Distribution of implication over biconditional (inference form). (Contributed by NM, 12-Mar-1995.)",https://us.metamath.org/mpeuni/pm5.32ri.html,,
simp-4r,|- ( ( ( ( ( ph /\ ps ) /\ ch ) /\ th ) /\ ta ) -> ps ),"Simplification of a conjunction. (Contributed by Mario Carneiro, 4-Jan-2017.) (Proof shortened by Wolf Lammen, 24-May-2022.)",https://us.metamath.org/mpeuni/simp-4r.html,,
ibar,|- ( ph -> ( ps <-> ( ph /\ ps ) ) ),"Introduction of antecedent as conjunct. (Contributed by NM, 5-Dec-1995.)",https://us.metamath.org/mpeuni/ibar.html,,
xor,|- ( -. ( ph <-> ps ) <-> ( ( ph /\ -. ps ) \/ ( ps /\ -. ph ) ) ),"Two ways to express exclusive disjunction ( ~ df-xor ). Theorem *5.22 of [WhiteheadRussell] p. 124. (Contributed by NM, 3-Jan-2005.) (Proof shortened by Wolf Lammen, 22-Jan-2013.)",https://us.metamath.org/mpeuni/xor.html,,
simp3r3,|- ( ( ta /\ et /\ ( th /\ ( ph /\ ps /\ ch ) ) ) -> ch ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp3r3.html,,
bj-imim11,|- ( ( ph -> ps ) -> ( ( ( ph -> ch ) -> th ) -> ( ( ps -> ch ) -> th ) ) ),"The propositional function ` ( ( . -> ph ) -> ps ) ` is increasing. (Contributed by BJ, 3-Apr-2026.)",https://us.metamath.org/mpeuni/bj-imim11.html,,
pm2.54,|- ( ( -. ph -> ps ) -> ( ph \/ ps ) ),"Theorem *2.54 of [WhiteheadRussell] p. 107. (Contributed by NM, 3-Jan-2005.)",https://us.metamath.org/mpeuni/pm2.54.html,,
bi2bian9,|- ( ( ph /\ th ) -> ( ( ps <-> ta ) <-> ( ch <-> et ) ) ),"Deduction joining two biconditionals with different antecedents. (Contributed by NM, 12-May-2004.)",https://us.metamath.org/mpeuni/bi2bian9.html,,
impi,|- ( -. ( ph -> -. ps ) -> ch ),"An importation inference. (Contributed by NM, 29-Dec-1992.) (Proof shortened by Wolf Lammen, 20-Jul-2013.)",https://us.metamath.org/mpeuni/impi.html,,
simp113,|- ( ( ( ( ph /\ ps /\ ch ) /\ th /\ ta ) /\ et /\ ze ) -> ch ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp113.html,,
loolin,|- ( ( ( ph -> ps ) -> ( ps -> ph ) ) -> ( ps -> ph ) ),"The Linearity Axiom of the infinite-valued sentential logic (L-infinity) of Lukasiewicz. See ~ loowoz for an alternate axiom. (Contributed by Mel L. O'Cat, 12-Aug-2004.)",https://us.metamath.org/mpeuni/loolin.html,,
anan,|- ( ( ( ( ph /\ ps ) /\ ch ) /\ ( ( ph /\ th ) /\ ta ) ) <-> ( ( ps /\ th ) /\ ( ph /\ ( ch /\ ta ) ) ) ),"Multiple commutations in conjunction. (Contributed by Peter Mazsa, 7-Mar-2020.)",https://us.metamath.org/mpeuni/anan.html,,
pm1.2,|- ( ( ph \/ ph ) -> ph ),"Axiom *1.2 of [WhiteheadRussell] p. 96, which they call ""Taut"". (Contributed by NM, 3-Jan-2005.)",https://us.metamath.org/mpeuni/pm1.2.html,,
impsingle-step25,|- ( ( ph -> ps ) -> ( ( ( ph -> ch ) -> ps ) -> ps ) ),"Derivation of impsingle-step25 from ~ ax-mp and ~ impsingle . It is used as a lemma in the proof of ~ imim1 from ~ impsingle . It is Step 25 in Lukasiewicz, where it appears as 'CCpqCCCprqq' using parenthesis-free prefix notation. (Contributed by Larry Lesyna and Jeffrey P. Machado, 2-Aug-2023.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/impsingle-step25.html,,
pm2.73,|- ( ( ph -> ps ) -> ( ( ( ph \/ ps ) \/ ch ) -> ( ps \/ ch ) ) ),"Theorem *2.73 of [WhiteheadRussell] p. 108. (Contributed by NM, 3-Jan-2005.)",https://us.metamath.org/mpeuni/pm2.73.html,,
luklem4,|- ( ( ( ( -. ph -> ph ) -> ph ) -> ps ) -> ps ),"Used to rederive standard propositional axioms from Lukasiewicz'. (Contributed by NM, 22-Dec-2002.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/luklem4.html,,
idi,|- ph,"(_Note_: This inference rule and the next one, ~ a1ii , will normally never appear in a completed proof. They can be ignored if you are using this database to assist learning logic; please start with the statement ~ wn instead.) This inference says ""if ` ph ` is true then ` ph ` is true"". This inference requires no axioms for its proof, and is useful as a copy-paste mechanism during proof developm",https://us.metamath.org/mpeuni/idi.html,,
orcom,|- ( ( ph \/ ps ) <-> ( ps \/ ph ) ),"Commutative law for disjunction. Theorem *4.31 of [WhiteheadRussell] p. 118. (Contributed by NM, 3-Jan-1993.) (Proof shortened by Wolf Lammen, 15-Nov-2012.)",https://us.metamath.org/mpeuni/orcom.html,,
pm3.2,|- ( ph -> ( ps -> ( ph /\ ps ) ) ),"Join antecedents with conjunction (""conjunction introduction""). Theorem *3.2 of [WhiteheadRussell] p. 111. Its associated inference is ~ pm3.2i and its associated deduction is ~ jca (and the double deduction is ~ jcad ). See ~ pm3.2im for a version using only implication and negation. (Contributed by NM, 5-Jan-1993.) (Proof shortened by Wolf Lammen, 12-Nov-2012.)",https://us.metamath.org/mpeuni/pm3.2.html,,
expcomdg,|- ( ( ph -> ( ( ps /\ ch ) -> th ) ) <-> ( ph -> ( ch -> ( ps -> th ) ) ) ),"Biconditional form of ~ expcomd . (Contributed by Alan Sare, 22-Jul-2012.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/expcomdg.html,,
ja,|- ( ( ph -> ps ) -> ch ),"Inference joining the antecedents of two premises. For partial converses, see ~ jarri and ~ jarli . (Contributed by NM, 24-Jan-1993.) (Proof shortened by Mel L. O'Cat, 19-Feb-2008.)",https://us.metamath.org/mpeuni/ja.html,,
3simpc,|- ( ( ph /\ ps /\ ch ) -> ( ps /\ ch ) ),"Simplification of triple conjunction. (Contributed by NM, 21-Apr-1994.) (Proof shortened by Andrew Salmon, 13-May-2011.) (Proof shortened by Wolf Lammen, 21-Jun-2022.)",https://us.metamath.org/mpeuni/3simpc.html,,
pm2.27,|- ( ph -> ( ( ph -> ps ) -> ps ) ),"This theorem, sometimes called ""Assertion"" or ""Pon"" (for ""ponens""), can be thought of as a closed form of modus ponens ~ ax-mp . Theorem *2.27 of [WhiteheadRussell] p. 104. (Contributed by NM, 15-Jul-1993.)",https://us.metamath.org/mpeuni/pm2.27.html,,
anabs5,|- ( ( ph /\ ( ph /\ ps ) ) <-> ( ph /\ ps ) ),"Absorption into embedded conjunct. (Contributed by NM, 20-Jul-1996.) (Proof shortened by Wolf Lammen, 9-Dec-2012.)",https://us.metamath.org/mpeuni/anabs5.html,,
simp32r,|- ( ( ta /\ et /\ ( ch /\ ( ph /\ ps ) /\ th ) ) -> ps ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp32r.html,,
pm3.2i,|- ( ph /\ ps ),"Infer conjunction of premises. Inference associated with ~ pm3.2 . Its associated deduction is ~ jca (and the double deduction is ~ jcad ). (Contributed by NM, 21-Jun-1993.)",https://us.metamath.org/mpeuni/pm3.2i.html,,
abai,|- ( ( ph /\ ps ) <-> ( ph /\ ( ph -> ps ) ) ),"Introduce one conjunct as an antecedent to the other. ""abai"" stands for ""and, biconditional, and, implication"". (Contributed by NM, 12-Aug-1993.) (Proof shortened by Wolf Lammen, 7-Dec-2012.)",https://us.metamath.org/mpeuni/abai.html,,
notnotb,|- ( ph <-> -. -. ph ),"Double negation. Theorem *4.13 of [WhiteheadRussell] p. 117. (Contributed by NM, 3-Jan-1993.)",https://us.metamath.org/mpeuni/notnotb.html,,
3impexpbicom,|- ( ( ( ph /\ ps /\ ch ) -> ( th <-> ta ) ) <-> ( ph -> ( ps -> ( ch -> ( ta <-> th ) ) ) ) ),"Version of ~ 3impexp where in addition the consequent is commuted. (Contributed by Alan Sare, 31-Dec-2011.)",https://us.metamath.org/mpeuni/3impexpbicom.html,,
simp1ll,|- ( ( ( ( ph /\ ps ) /\ ch ) /\ th /\ ta ) -> ph ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp1ll.html,,
notbi,|- ( ( ph <-> ps ) <-> ( -. ph <-> -. ps ) ),"Contraposition. Theorem *4.11 of [WhiteheadRussell] p. 117. (Contributed by NM, 21-May-1994.) (Proof shortened by Wolf Lammen, 12-Jun-2013.)",https://us.metamath.org/mpeuni/notbi.html,,
notbii,|- ( -. ph <-> -. ps ),"Negate both sides of a logical equivalence. (Contributed by NM, 3-Jan-1993.) (Proof shortened by Wolf Lammen, 19-May-2013.)",https://us.metamath.org/mpeuni/notbii.html,,
pm2.01,|- ( ( ph -> -. ph ) -> -. ph ),"Weak Clavius law. If a formula implies its negation, then it is false. A form of ""reductio ad absurdum"", which can be used in proofs by contradiction. Theorem *2.01 of [WhiteheadRussell] p. 100. Provable in minimal calculus, contrary to the Clavius law ~ pm2.18 . (Contributed by NM, 18-Aug-1993.) (Proof shortened by Mel L. O'Cat, 21-Nov-2008.) (Proof shortened by Wolf Lammen, 31-Oct-2012.)",https://us.metamath.org/mpeuni/pm2.01.html,,
simpl23,|- ( ( ( th /\ ( ph /\ ps /\ ch ) /\ ta ) /\ et ) -> ch ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.) (Proof shortened by Wolf Lammen, 24-Jun-2022.)",https://us.metamath.org/mpeuni/simpl23.html,,
rp-7frege,|- ( ( ph -> ( ps -> ch ) ) -> ( th -> ( ( ph -> ps ) -> ( ph -> ch ) ) ) ),"Distribute antecedent and add another. (Contributed by RP, 24-Dec-2019.)",https://us.metamath.org/mpeuni/rp-7frege.html,,
imp5p,|- ( ph -> ( ps -> ( ( ch /\ th /\ ta ) -> et ) ) ),"A triple importation inference. (Contributed by Jeff Hankins, 8-Jul-2009.)",https://us.metamath.org/mpeuni/imp5p.html,,
imp5a,|- ( ph -> ( ps -> ( ch -> ( ( th /\ ta ) -> et ) ) ) ),"An importation inference. (Contributed by Jeff Hankins, 7-Jul-2009.) (Proof shortened by Wolf Lammen, 2-Aug-2022.)",https://us.metamath.org/mpeuni/imp5a.html,,
ancom,|- ( ( ph /\ ps ) <-> ( ps /\ ph ) ),"Commutative law for conjunction. Theorem *4.3 of [WhiteheadRussell] p. 118. (Contributed by NM, 25-Jun-1998.) (Proof shortened by Wolf Lammen, 4-Nov-2012.)",https://us.metamath.org/mpeuni/ancom.html,,
simp13l,|- ( ( ( ch /\ th /\ ( ph /\ ps ) ) /\ ta /\ et ) -> ph ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp13l.html,,
3orrot,|- ( ( ph \/ ps \/ ch ) <-> ( ps \/ ch \/ ph ) ),"Rotation law for triple disjunction. (Contributed by NM, 4-Apr-1995.)",https://us.metamath.org/mpeuni/3orrot.html,,
pm5.74,|- ( ( ph -> ( ps <-> ch ) ) <-> ( ( ph -> ps ) <-> ( ph -> ch ) ) ),"Distribution of implication over biconditional. Theorem *5.74 of [WhiteheadRussell] p. 126. (Contributed by NM, 1-Aug-1994.) (Proof shortened by Wolf Lammen, 11-Apr-2013.)",https://us.metamath.org/mpeuni/pm5.74.html,,
simplrl,|- ( ( ( ph /\ ( ps /\ ch ) ) /\ th ) -> ps ),"Simplification of a conjunction. (Contributed by Jeff Hankins, 28-Jul-2009.)",https://us.metamath.org/mpeuni/simplrl.html,,
con5,|- ( ( ph <-> -. ps ) -> ( -. ph -> ps ) ),"Biconditional contraposition variation. This proof is ~ con5VD automatically translated and minimized. (Contributed by Alan Sare, 21-Apr-2013.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/con5.html,,
onenotinotbothi,|- -. ( ( ph -> ps ) /\ ( ch -> th ) ),"From one negated implication it is not the case its nonnegated form and a random others are both true. (Contributed by Jarvin Udandy, 11-Sep-2020.)",https://us.metamath.org/mpeuni/onenotinotbothi.html,,
3jcad,|- ( ph -> ( ps -> ( ch /\ th /\ ta ) ) ),"Deduction conjoining the consequents of three implications. (Contributed by NM, 25-Sep-2005.)",https://us.metamath.org/mpeuni/3jcad.html,,
pm5.44,|- ( ( ph -> ps ) -> ( ( ph -> ch ) <-> ( ph -> ( ps /\ ch ) ) ) ),"Theorem *5.44 of [WhiteheadRussell] p. 125. (Contributed by NM, 3-Jan-2005.)",https://us.metamath.org/mpeuni/pm5.44.html,,
3anor,|- ( ( ph /\ ps /\ ch ) <-> -. ( -. ph \/ -. ps \/ -. ch ) ),"Triple conjunction expressed in terms of triple disjunction. (Contributed by Jeff Hankins, 15-Aug-2009.) (Proof shortened by Wolf Lammen, 8-Apr-2022.)",https://us.metamath.org/mpeuni/3anor.html,,
tsim3,|- ( th -> ( -. ps \/ ( ph -> ps ) ) ),"A Tseitin axiom for logical implication, in deduction form. (Contributed by Giovanni Mascellani, 24-Mar-2018.)",https://us.metamath.org/mpeuni/tsim3.html,,
impsingle-step20,|- ( ( ( ( ph -> ps ) -> ps ) -> ( ch -> ps ) ) -> ( ( ( ps -> th ) -> ph ) -> ( ch -> ps ) ) ),"Derivation of impsingle-step20 from ~ ax-mp and ~ impsingle . It is used as a lemma in proofs of ~ imim1 and ~ peirce from ~ impsingle . It is Step 20 in Lukasiewicz, where it appears as 'CCCCrppCspCCCpqrCsp' using parenthesis-free prefix notation. (Contributed by Larry Lesyna and Jeffrey P. Machado, 2-Aug-2023.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/impsingle-step20.html,,
3mix1i,|- ( ph \/ ps \/ ch ),"Introduction in triple disjunction. (Contributed by Mario Carneiro, 6-Oct-2014.)",https://us.metamath.org/mpeuni/3mix1i.html,,
iidn3,|- ( ph -> ( ps -> ( ch -> ch ) ) ),"~ idn3 without virtual deduction connectives. Special theorem needed for the Virtual Deduction translation tool. (Contributed by Alan Sare, 23-Jul-2011.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/iidn3.html,,
