label,statement,description,url,significance_0_3,notes
maducoevalmin1,|- ( ( M e. B /\ I e. N /\ H e. N ) -> ( I ( J ` M ) H ) = ( D ` ( H ( ( N minMatR1 R ) ` M ) I ) ) ),"The coefficients of an adjunct (matrix of cofactors) expressed as determinants of the minor matrices (alternative definition) of the original matrix. (Contributed by AV, 31-Dec-2018.)",https://us.metamath.org/mpeuni/maducoevalmin1.html,,
eluni,|- ( A e. U. B <-> E. x ( A e. x /\ x e. B ) ),"Membership in class union. (Contributed by NM, 22-May-1994.)",https://us.metamath.org/mpeuni/eluni.html,,
bi2anan9,|- ( ( ph /\ th ) -> ( ( ps /\ ta ) <-> ( ch /\ et ) ) ),"Deduction joining two equivalences to form equivalence of conjunctions. (Contributed by NM, 31-Jul-1995.)",https://us.metamath.org/mpeuni/bi2anan9.html,,
amgm,"|- ( ( A e. Fin /\ A =/= (/) /\ F : A --> ( 0 [,) +oo ) ) -> ( ( M gsum F ) ^c ( 1 / ( # ` A ) ) ) <_ ( ( CCfld gsum F ) / ( # ` A ) ) )","Inequality of arithmetic and geometric means. Here ` ( M gsum F ) ` calculates the group sum within the multiplicative monoid of the complex numbers (or in other words, it multiplies the elements ` F ( x ) , x e. A ` together), and ` ( CCfld gsum F ) ` calculates the group sum in the additive group (i.e. the sum of the elements). (Contributed by Mario Carneiro, 20-Jun-2015.)",https://us.metamath.org/mpeuni/amgm.html,,
isocnv2,"|- ( H Isom R , S ( A , B ) <-> H Isom `' R , `' S ( A , B ) )","Converse law for isomorphism. (Contributed by Mario Carneiro, 30-Jan-2014.)",https://us.metamath.org/mpeuni/isocnv2.html,,
smofvon,|- ( ( Smo B /\ A e. dom B ) -> ( B ` A ) e. On ),"If ` B ` is a strictly monotone ordinal function, and ` A ` is in the domain of ` B ` , then the value of the function at ` A ` is an ordinal. (Contributed by Andrew Salmon, 20-Nov-2011.)",https://us.metamath.org/mpeuni/smofvon.html,,
cmncom,|- ( ( G e. CMnd /\ X e. B /\ Y e. B ) -> ( X .+ Y ) = ( Y .+ X ) ),"A commutative monoid is commutative. (Contributed by Mario Carneiro, 6-Jan-2015.)",https://us.metamath.org/mpeuni/cmncom.html,,
peano2uz,|- ( N e. ( ZZ>= ` M ) -> ( N + 1 ) e. ( ZZ>= ` M ) ),"Second Peano postulate for an upper set of integers. (Contributed by NM, 7-Sep-2005.)",https://us.metamath.org/mpeuni/peano2uz.html,,
isf32lem12,|- ( G e. V -> ( -. _om ~<_* G -> G e. F ) ),"Lemma for ~ isfin3-2 . (Contributed by Stefan O'Rear, 6-Nov-2014.) (Revised by Mario Carneiro, 17-May-2015.)",https://us.metamath.org/mpeuni/isf32lem12.html,,
elssuni,|- ( A e. B -> A C_ U. B ),"An element of a class is a subclass of its union. Theorem 8.6 of [Quine] p. 54. Also the basis for Proposition 7.20 of [TakeutiZaring] p. 40. (Contributed by NM, 6-Jun-1994.)",https://us.metamath.org/mpeuni/elssuni.html,,
opncldf3,|- ( B e. ( Clsd ` J ) -> ( `' F ` B ) = ( X \ B ) ),"The values of the converse/inverse of the open-closed bijection. (Contributed by Jeff Hankins, 27-Aug-2009.) (Proof shortened by Mario Carneiro, 1-Sep-2015.)",https://us.metamath.org/mpeuni/opncldf3.html,,
elioc1,"|- ( ( A e. RR* /\ B e. RR* ) -> ( C e. ( A (,] B ) <-> ( C e. RR* /\ A < C /\ C <_ B ) ) )","Membership in an open-below, closed-above interval of extended reals. (Contributed by NM, 24-Dec-2006.) (Revised by Mario Carneiro, 3-Nov-2013.)",https://us.metamath.org/mpeuni/elioc1.html,,
elrlocbasi,"|- ( ph -> E. a e. B E. b e. S X = [ <. a , b >. ] .~ )","Membership in the basis of a ring localization. (Contributed by Thierry Arnoux, 4-May-2025.)",https://us.metamath.org/mpeuni/elrlocbasi.html,,
ruclem10,|- ( ph -> ( 1st ` ( G ` M ) ) < ( 2nd ` ( G ` N ) ) ),"Lemma for ~ ruc . Every first component of the ` G ` sequence is less than every second component. That is, the sequences form a chain a_1 ` < ` a_2 ` < ` ... ` < ` b_2 ` < ` b_1, where a_i are the first components and b_i are the second components. (Contributed by Mario Carneiro, 28-May-2014.)",https://us.metamath.org/mpeuni/ruclem10.html,,
dvdsn1add,|- ( ( K e. ZZ /\ M e. ZZ /\ N e. ZZ ) -> ( ( -. K || M /\ K || N ) -> -. K || ( M + N ) ) ),"If ` K ` divides ` N ` but ` K ` does not divide ` M ` , then ` K ` does not divide ` ( M + N ) ` . (Contributed by Glauco Siliprandi, 5-Apr-2020.)",https://us.metamath.org/mpeuni/dvdsn1add.html,,
oprabss,"|- { <. <. x , y >. , z >. | ph } C_ ( ( _V X. _V ) X. _V )","Structure of an operation class abstraction. (Contributed by NM, 28-Nov-2006.)",https://us.metamath.org/mpeuni/oprabss.html,,
joinlem,|- ( ph -> ( ( X .<_ ( X .\/ Y ) /\ Y .<_ ( X .\/ Y ) ) /\ A. z e. B ( ( X .<_ z /\ Y .<_ z ) -> ( X .\/ Y ) .<_ z ) ) ),"Lemma for join properties. (Contributed by NM, 16-Sep-2011.) (Revised by NM, 12-Sep-2018.)",https://us.metamath.org/mpeuni/joinlem.html,,
eulerpart,|- ( # ` O ) = ( # ` D ),"Euler's theorem on partitions, also known as a special case of Glaisher's theorem. Let ` P ` be the set of all partitions of ` N ` , represented as multisets of positive integers, which is to say functions from ` NN ` to ` NN0 ` where the value of the function represents the number of repetitions of an individual element, and the sum of all the elements with repetition equals ` N ` . Then the set ",https://us.metamath.org/mpeuni/eulerpart.html,,
detlem,"|- ( Disj R <-> EqvRel ,~ R )","If a relation is disjoint, then it is equivalent to the equivalent cosets of the relation, inference version. (Contributed by Peter Mazsa, 30-Sep-2021.)",https://us.metamath.org/mpeuni/detlem.html,,
smflimlem4,|- ( ph -> ( D i^i I ) C_ { x e. D | ( G ` x ) <_ A } ),"Lemma for the proof that the limit of sigma-measurable functions is sigma-measurable, Proposition 121F (a) of [Fremlin1] p. 38 . This lemma proves one-side of the double inclusion for the proof that the preimages of right-closed, unbounded-below intervals are in the subspace sigma-algebra induced by ` D ` . (Contributed by Glauco Siliprandi, 26-Jun-2021.)",https://us.metamath.org/mpeuni/smflimlem4.html,,
eufunc,|- ( ph -> E! x x e. B ),"If there exists a unique functor from a non-empty category, then the base of the target category is a singleton. (Contributed by Zhi Wang, 19-Oct-2025.)",https://us.metamath.org/mpeuni/eufunc.html,,
wlkp1lem5,|- ( ph -> A. k e. ( 0 ... N ) ( Q ` k ) = ( P ` k ) ),"Lemma for ~ wlkp1 . (Contributed by AV, 6-Mar-2021.)",https://us.metamath.org/mpeuni/wlkp1lem5.html,,
sbcgfi,|- ( [. A / x ]. ph <-> ph ),"Substitution for a variable not free in a wff does not affect it, in inference form. (Contributed by Giovanni Mascellani, 1-Jun-2019.)",https://us.metamath.org/mpeuni/sbcgfi.html,,
wl-mo2t,|- ( A. x F/ y ph -> ( E* x ph <-> E. y A. x ( ph -> x = y ) ) ),"Closed form of ~ mof . (Contributed by Wolf Lammen, 18-Aug-2019.)",https://us.metamath.org/mpeuni/wl-mo2t.html,,
aaliou,|- ( ph -> E. x e. RR+ A. p e. ZZ A. q e. NN ( A = ( p / q ) \/ ( x / ( q ^ N ) ) < ( abs ` ( A - ( p / q ) ) ) ) ),"Liouville's theorem on diophantine approximation: Any algebraic number, being a root of a polynomial ` F ` in integer coefficients, is not approximable beyond order ` N = deg ( F ) ` by rational numbers. In this form, it also applies to rational numbers themselves, which are not well approximable by other rational numbers. (Contributed by Stefan O'Rear, 16-Nov-2014.)",https://us.metamath.org/mpeuni/aaliou.html,,
bpos,|- ( N e. NN -> E. p e. Prime ( N < p /\ p <_ ( 2 x. N ) ) ),"Bertrand's postulate: there is a prime between ` N ` and ` 2 N ` for every positive integer ` N ` . This proof follows Erd&#337;s's method, for the most part, but with some refinements due to Shigenori Tochiori to save us some calculations of large primes. See ~ http://en.wikipedia.org/wiki/Proof_of_Bertrand%27s_postulate for an overview of the proof strategy. (Contributed by Mario Carneiro, 14-Ma",https://us.metamath.org/mpeuni/bpos.html,,
4exmid,|- ( ( ( ph /\ ps ) \/ ( -. ph /\ -. ps ) ) \/ ( ( ph /\ -. ps ) \/ ( ps /\ -. ph ) ) ),"The disjunction of the four possible combinations of two wffs and their negations is always true. A four-way excluded middle (see ~ exmid ). (Contributed by David Abernethy, 28-Jan-2014.) (Proof shortened by NM, 29-Oct-2021.)",https://us.metamath.org/mpeuni/4exmid.html,,
monfval,"|- ( ph -> M = ( x e. B , y e. B |-> { f e. ( x H y ) | A. z e. B Fun `' ( g e. ( z H x ) |-> ( f ( <. z , x >. .x. y ) g ) ) } ) )","Definition of a monomorphism in a category. (Contributed by Mario Carneiro, 3-Jan-2017.)",https://us.metamath.org/mpeuni/monfval.html,,
limom,|- Lim _om,"Omega is a limit ordinal. Theorem 2.8 of [BellMachover] p. 473. Theorem 1.23 of [Schloeder] p. 4. Our proof, however, does not require the Axiom of Infinity. (Contributed by NM, 26-Mar-1995.) (Proof shortened by Mario Carneiro, 2-Sep-2015.)",https://us.metamath.org/mpeuni/limom.html,,
reuxfr,|- ( E! x e. B E. y e. C ( x = A /\ ph ) <-> E! y e. C ph ),"Transfer existential uniqueness from a variable ` x ` to another variable ` y ` contained in expression ` A ` . (Contributed by NM, 14-Nov-2004.) (Revised by NM, 16-Jun-2017.)",https://us.metamath.org/mpeuni/reuxfr.html,,
nffo,|- F/ x F : A -onto-> B,"Bound-variable hypothesis builder for an onto function. (Contributed by NM, 16-May-2004.)",https://us.metamath.org/mpeuni/nffo.html,,
ismgm,|- ( M e. V -> ( M e. Mgm <-> A. x e. B A. y e. B ( x .o. y ) e. B ) ),"The predicate ""is a magma"". (Contributed by FL, 2-Nov-2009.) (Revised by AV, 6-Jan-2020.)",https://us.metamath.org/mpeuni/ismgm.html,,
smfpreimale,|- ( ph -> { x e. D | ( F ` x ) <_ A } e. ( S |`t D ) ),"Given a function measurable w.r.t. to a sigma-algebra, the preimage of a closed interval unbounded below is in the subspace sigma-algebra induced by its domain. See Proposition 121B (ii) of [Fremlin1] p. 35 (Contributed by Glauco Siliprandi, 26-Jun-2021.)",https://us.metamath.org/mpeuni/smfpreimale.html,,
regamcl,|- ( A e. ( RR \ ( ZZ \ NN ) ) -> ( _G ` A ) e. RR ),"The Gamma function is real for real input. (Contributed by Mario Carneiro, 9-Jul-2017.)",https://us.metamath.org/mpeuni/regamcl.html,,
lmodass,|- ( ( W e. LMod /\ ( X e. V /\ Y e. V /\ Z e. V ) ) -> ( ( X .+ Y ) .+ Z ) = ( X .+ ( Y .+ Z ) ) ),"Left module vector sum is associative. (Contributed by NM, 10-Jan-2014.) (Revised by Mario Carneiro, 19-Jun-2014.)",https://us.metamath.org/mpeuni/lmodass.html,,
abssnid,|- ( ( A e. No /\ A <_s 0s ) -> ( abs_s ` A ) = ( -us ` A ) ),"For a negative surreal, its absolute value is its negation. (Contributed by Scott Fenton, 16-Apr-2025.)",https://us.metamath.org/mpeuni/abssnid.html,,
funvtxval0,"|- ( ( Fun ( G \ { (/) } ) /\ S =/= ( Base ` ndx ) /\ { ( Base ` ndx ) , S } C_ dom G ) -> ( Vtx ` G ) = ( Base ` G ) )","The set of vertices of an extensible structure with a base set and (at least) another slot. (Contributed by AV, 22-Sep-2020.) (Revised by AV, 7-Jun-2021.) (Revised by AV, 12-Nov-2021.)",https://us.metamath.org/mpeuni/funvtxval0.html,,
4sq,|- ( A e. NN0 <-> E. a e. ZZ E. b e. ZZ E. c e. ZZ E. d e. ZZ A = ( ( ( a ^ 2 ) + ( b ^ 2 ) ) + ( ( c ^ 2 ) + ( d ^ 2 ) ) ) ),"Lagrange's four-square theorem, or Bachet's conjecture: every nonnegative integer is expressible as a sum of four squares. (Contributed by Mario Carneiro, 16-Jul-2014.)",https://us.metamath.org/mpeuni/4sq.html,,
abs1m,|- ( A e. CC -> E. x e. CC ( ( abs ` x ) = 1 /\ ( abs ` A ) = ( x x. A ) ) ),"For any complex number, there exists a unit-magnitude multiplier that produces its absolute value. Part of proof of Theorem 13-2.12 of [Gleason] p. 195. (Contributed by NM, 26-Mar-2005.)",https://us.metamath.org/mpeuni/abs1m.html,,
fta,|- ( ( F e. ( Poly ` S ) /\ ( deg ` F ) e. NN ) -> E. z e. CC ( F ` z ) = 0 ),"The Fundamental Theorem of Algebra. Any polynomial with positive degree (i.e. non-constant) has a root. (Contributed by Mario Carneiro, 15-Sep-2014.)",https://us.metamath.org/mpeuni/fta.html,,
lhop,|- ( ph -> C e. ( ( z e. D |-> ( ( F ` z ) / ( G ` z ) ) ) limCC B ) ),"L'H&ocirc;pital's Rule. If ` I ` is an open set of the reals, ` F ` and ` G ` are real functions on ` A ` containing all of ` I ` except possibly ` B ` , which are differentiable everywhere on ` I \ { B } ` , ` F ` and ` G ` both approach 0, and the limit of ` F ` ' ` ( x ) / G ` ' ` ( x ) ` at ` B ` is ` C ` , then the limit ` F ( x ) / G ( x ) ` at ` B ` also exists and equals ` C ` . (Contribut",https://us.metamath.org/mpeuni/lhop.html,,
pockthi,|- N e. Prime,"Pocklington's theorem, which gives a sufficient criterion for a number ` N ` to be prime. This is the preferred method for verifying large primes, being much more efficient to compute than trial division. This form has been optimized for application to specific large primes; see ~ pockthg for a more general closed-form version. (Contributed by Mario Carneiro, 2-Mar-2014.)",https://us.metamath.org/mpeuni/pockthi.html,,
clwlkclwwlk,|- ( ( G e. USPGraph /\ P e. Word V /\ 2 <_ ( # ` P ) ) -> ( E. f f ( ClWalks ` G ) P <-> ( ( lastS ` P ) = ( P ` 0 ) /\ ( P prefix ( ( # ` P ) - 1 ) ) e. ( ClWWalks ` G ) ) ) ),"A closed walk as word of length at least 2 corresponds to a closed walk in a simple pseudograph. (Contributed by Alexander van der Vekens, 22-Jun-2018.) (Revised by AV, 24-Apr-2021.) (Revised by AV, 30-Oct-2022.)",https://us.metamath.org/mpeuni/clwlkclwwlk.html,,
rrndistlt,|- ( ph -> ( X D Y ) < ( ( sqrt ` N ) x. E ) ),"Given two points in the space of n-dimensional real numbers, if every component is closer than ` E ` then the distance between the two points is less than ` ( ( sqrt `` n ) x. E ) ` . (Contributed by Glauco Siliprandi, 24-Dec-2020.)",https://us.metamath.org/mpeuni/rrndistlt.html,,
elflim2,|- ( A e. ( J fLim F ) <-> ( ( J e. Top /\ F e. U. ran Fil /\ F C_ ~P X ) /\ ( A e. X /\ ( ( nei ` J ) ` { A } ) C_ F ) ) ),"The predicate ""is a limit point of a filter."" (Contributed by Mario Carneiro, 9-Apr-2015.) (Revised by Stefan O'Rear, 6-Aug-2015.)",https://us.metamath.org/mpeuni/elflim2.html,,
cphcjcl,|- ( ( W e. CPreHil /\ A e. K ) -> ( * ` A ) e. K ),"The scalar field of a subcomplex pre-Hilbert space is closed under conjugation. (Contributed by Mario Carneiro, 11-Oct-2015.)",https://us.metamath.org/mpeuni/cphcjcl.html,,
r19.35,|- ( E. x e. A ( ph -> ps ) <-> ( A. x e. A ph -> E. x e. A ps ) ),"Restricted quantifier version of ~ 19.35 . (Contributed by NM, 20-Sep-2003.) (Proof shortened by Wolf Lammen, 22-Dec-2024.)",https://us.metamath.org/mpeuni/r19.35.html,,
pmat0opsc,"|- ( ( N e. Fin /\ R e. Ring ) -> ( 0g ` C ) = ( i e. N , j e. N |-> ( A ` .0. ) ) )","The zero polynomial matrix over a ring represented as operation with ""lifted scalars"" (i.e. elements of the ring underlying the polynomial ring embedded into the polynomial ring by the scalar injection/algebra scalar lifting function ` algSc ` ). (Contributed by AV, 16-Nov-2019.)",https://us.metamath.org/mpeuni/pmat0opsc.html,,
shsleji,|- ( A +H B ) C_ ( A vH B ),"Subspace sum is smaller than Hilbert lattice join. Remark in [Kalmbach] p. 65. (Contributed by NM, 19-Oct-1999.) (Revised by Mario Carneiro, 15-May-2014.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/shsleji.html,,
binom,|- ( ( A e. CC /\ B e. CC /\ N e. NN0 ) -> ( ( A + B ) ^ N ) = sum_ k e. ( 0 ... N ) ( ( N _C k ) x. ( ( A ^ ( N - k ) ) x. ( B ^ k ) ) ) ),"The binomial theorem: ` ( A + B ) ^ N ` is the sum from ` k = 0 ` to ` N ` of ` ( N _C k ) x. ( ( A ^ k ) x. ( B ^ ( N - k ) ) ` . Theorem 15-2.8 of [Gleason] p. 296. This part of the proof sets up the induction and does the base case, with the bulk of the work (the induction step) in ~ binomlem . (Contributed by NM, 7-Dec-2005.) (Proof shortened by Mario Carneiro, 24-Apr-2014.)",https://us.metamath.org/mpeuni/binom.html,,
equeuclr,|- ( x = z -> ( y = z -> y = x ) ),"Commuted version of ~ equeucl (equality is left-Euclidean). (Contributed by BJ, 12-Apr-2021.)",https://us.metamath.org/mpeuni/equeuclr.html,,
iscph,"|- ( W e. CPreHil <-> ( ( W e. PreHil /\ W e. NrmMod /\ F = ( CCfld |`s K ) ) /\ ( sqrt "" ( K i^i ( 0 [,) +oo ) ) ) C_ K /\ N = ( x e. V |-> ( sqrt ` ( x ., x ) ) ) ) )","A subcomplex pre-Hilbert space is exactly a pre-Hilbert space over a subfield of the field of complex numbers closed under square roots of nonnegative reals equipped with a norm. (Contributed by Mario Carneiro, 8-Oct-2015.)",https://us.metamath.org/mpeuni/iscph.html,,
logm1,|- ( log ` -u 1 ) = ( _i x. _pi ),"The natural logarithm of negative ` 1 ` . (Contributed by Paul Chapman, 21-Apr-2008.) (Revised by Mario Carneiro, 13-May-2014.)",https://us.metamath.org/mpeuni/logm1.html,,
sqoddm1div8z,|- ( ( N e. ZZ /\ -. 2 || N ) -> ( ( ( N ^ 2 ) - 1 ) / 8 ) e. ZZ ),"A squared odd number minus 1 divided by 8 is an integer. (Contributed by AV, 19-Jul-2021.)",https://us.metamath.org/mpeuni/sqoddm1div8z.html,,
cnvxp,|- `' ( A X. B ) = ( B X. A ),"The converse of a Cartesian product. Exercise 11 of [Suppes] p. 67. (Contributed by NM, 14-Aug-1999.) (Proof shortened by Andrew Salmon, 27-Aug-2011.)",https://us.metamath.org/mpeuni/cnvxp.html,,
rabun2,|- { x e. ( A u. B ) | ph } = ( { x e. A | ph } u. { x e. B | ph } ),"Abstraction restricted to a union. (Contributed by Stefan O'Rear, 5-Feb-2015.)",https://us.metamath.org/mpeuni/rabun2.html,,
sbccsb2,|- ( [. A / x ]. ph <-> A e. [_ A / x ]_ { x | ph } ),"Substitution into a wff expressed in using substitution into a class. (Contributed by NM, 27-Nov-2005.) (Revised by NM, 18-Aug-2018.)",https://us.metamath.org/mpeuni/sbccsb2.html,,
cvmscld,"|- ( ( F e. ( C CovMap J ) /\ T e. ( S ` U ) /\ A e. T ) -> A e. ( Clsd ` ( C |`t ( `' F "" U ) ) ) )","The sets of an even covering are clopen in the subspace topology on ` T ` . (Contributed by Mario Carneiro, 14-Feb-2015.)",https://us.metamath.org/mpeuni/cvmscld.html,,
xnn0xaddcl,|- ( ( A e. NN0* /\ B e. NN0* ) -> ( A +e B ) e. NN0* ),"The extended nonnegative integers are closed under extended addition. (Contributed by AV, 10-Dec-2020.)",https://us.metamath.org/mpeuni/xnn0xaddcl.html,,
cdleme12,|- ( ( ( K e. HL /\ W e. H ) /\ ( ( P e. A /\ -. P .<_ W ) /\ Q e. A /\ P =/= Q ) /\ ( ( S e. A /\ -. S .<_ W ) /\ ( T e. A /\ -. T .<_ W ) /\ ( S =/= T /\ -. U .<_ ( S .\/ T ) ) ) ) -> ( ( S .\/ F ) ./\ ( T .\/ G ) ) = U ),"Part of proof of Lemma E in [Crawley] p. 113, 3rd paragraph on p. 114, first part of 3rd sentence. ` F ` and ` G ` represent f(s) and f(t) respectively. (Contributed by NM, 16-Jun-2012.)",https://us.metamath.org/mpeuni/cdleme12.html,,
ecxp,|- ( A e. CC -> ( _e ^c A ) = ( exp ` A ) ),"Write the exponential function as an exponent to the power ` _e ` . (Contributed by Mario Carneiro, 2-Aug-2014.)",https://us.metamath.org/mpeuni/ecxp.html,,
tsmsxp,|- ( ph -> ( G tsums F ) C_ ( G tsums H ) ),"Write a sum over a two-dimensional region as a double sum. This infinite group sum version of ~ gsumxp is also known as Fubini's theorem. The converse is not necessarily true without additional assumptions. See ~ tsmsxplem1 for the main proof; this part mostly sets up the local assumptions. (Contributed by Mario Carneiro, 21-Sep-2015.)",https://us.metamath.org/mpeuni/tsmsxp.html,,
efneg,|- ( A e. CC -> ( exp ` -u A ) = ( 1 / ( exp ` A ) ) ),"The exponential of the opposite is the inverse of the exponential. (Contributed by Mario Carneiro, 10-May-2014.)",https://us.metamath.org/mpeuni/efneg.html,,
mdandyvrx2,|- ( ( ( ( ch \/_ ze ) /\ ( th \/_ si ) ) /\ ( ta \/_ ze ) ) /\ ( et \/_ ze ) ),"Given the exclusivities set in the hypotheses, there exist a proof where ch, th, ta, et exclude ze, si accordingly. (Contributed by Jarvin Udandy, 7-Sep-2016.)",https://us.metamath.org/mpeuni/mdandyvrx2.html,,
sinf,|- sin : CC --> CC,"Domain and codomain of the sine function. (Contributed by Paul Chapman, 22-Oct-2007.) (Revised by Mario Carneiro, 30-Apr-2014.)",https://us.metamath.org/mpeuni/sinf.html,,
pm4.64,|- ( ( -. ph -> ps ) <-> ( ph \/ ps ) ),"Theorem *4.64 of [WhiteheadRussell] p. 120. (Contributed by NM, 3-Jan-2005.)",https://us.metamath.org/mpeuni/pm4.64.html,,
